"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default","key_type"
"comissar","id_comissar","integer",NULL,"NO","nextval('comissar_id_comissar_seq'::regclass)","PK"
"comissar","fio","character varying",255,"NO",NULL,""
"comissar","dolzhnost","character varying",100,"NO",NULL,""
"comissar","stazh_raboty","integer",NULL,"YES",NULL,""
"comissar","kontaktnyi_telefon","character varying",20,"YES",NULL,""
"kategoria_godnosti","id_kategorii","integer",NULL,"NO","nextval('kategoria_godnosti_id_kategorii_seq'::regclass)","PK"
"kategoria_godnosti","nazvanie_kategorii","character varying",1,"NO",NULL,""
"kategoria_godnosti","opisanie_ogranichenii","text",NULL,"YES",NULL,""
"kategoria_godnosti","index_kategorii","character varying",10,"YES",NULL,""
"kategoria_godnosti","osnovanie_dlya_kategorii","text",NULL,"YES",NULL,""
"med_osvidetelstvovanie","id_osvidetelstvovania","integer",NULL,"NO","nextval('med_osvidetelstvovanie_id_osvidetelstvovania_seq'::regclass)","PK"
"med_osvidetelstvovanie","data_provedeniya","date",NULL,"NO",NULL,""
"med_osvidetelstvovanie","rezultaty_obsledovania","text",NULL,"YES",NULL,""
"med_osvidetelstvovanie","fio_vracha","character varying",255,"NO",NULL,""
"med_osvidetelstvovanie","zaklyuchenie","text",NULL,"YES",NULL,""
"med_osvidetelstvovanie","id_prizivnika","integer",NULL,"NO",NULL,"FK"
"med_osvidetelstvovanie","id_kategorii","integer",NULL,"NO",NULL,"FK"
"prizivnik","id_prizivnik","integer",NULL,"NO","nextval('prizivnik_id_prizivnik_seq'::regclass)","PK"
"prizivnik","fio","character varying",255,"NO",NULL,""
"prizivnik","data_rozhdeniya","date",NULL,"NO",NULL,""
"prizivnik","adres_prozhivaniya","text",NULL,"YES",NULL,""
"prizivnik","nomer_pasporta","character varying",20,"NO",NULL,""
"prizivnik","id_voennogo_bileta","integer",NULL,"YES",NULL,"FK"
"prizivnik","id_voenno_uchetnoi_karty","integer",NULL,"YES",NULL,"FK"
"prizivnik_comissar","id_prizivnik","integer",NULL,"NO",NULL,"PK"
"prizivnik_comissar","id_comissar","integer",NULL,"NO",NULL,"PK"
"prizivnik_comissar","data_vzaimodeistviya","date",NULL,"YES",NULL,""
"prizivnik_comissar","nomer_kabineta","character varying",10,"YES",NULL,""
"prizivnik_meropriyatie","id_prizivnik","integer",NULL,"NO",NULL,"PK"
"prizivnik_meropriyatie","id_meropriyatiya","integer",NULL,"NO",NULL,"PK"
"prizivnoe_meropriyatie","id_meropriyatiya","integer",NULL,"NO","nextval('prizivnoe_meropriyatie_id_meropriyatiya_seq'::regclass)","PK"
"prizivnoe_meropriyatie","tip_meropriyatiya","character varying",100,"NO",NULL,""
"prizivnoe_meropriyatie","data_provedeniya","timestamp without time zone",NULL,"NO",NULL,""
"prizivnoe_meropriyatie","mesto_provedeniya","text",NULL,"YES",NULL,""
"prizivnoe_meropriyatie","fio_comissara","character varying",255,"YES",NULL,""
"prizivnoe_meropriyatie","id_comissar","integer",NULL,"NO",NULL,"FK"
"voenno_uchetnaya_karta","id_karty","integer",NULL,"NO","nextval('voenno_uchetnaya_karta_id_karty_seq'::regclass)","PK"
"voenno_uchetnaya_karta","nomer_karty","character varying",50,"NO",NULL,""
"voenno_uchetnaya_karta","data_postanovki_na_uchet","date",NULL,"NO",NULL,""
"voenno_uchetnaya_karta","istoriya_otsrochek","text",NULL,"YES",NULL,""
"voenno_uchetnaya_karta","voenno_uchetnaya_specialnost","character varying",100,"YES",NULL,""
"voenno_uchetnaya_karta","id_prizivnika","integer",NULL,"NO",NULL,"FK"
"voennyi_bilet","id_bileta","integer",NULL,"NO","nextval('voennyi_bilet_id_bileta_seq'::regclass)","PK"
"voennyi_bilet","nomer_bileta","character varying",50,"NO",NULL,""
"voennyi_bilet","data_vydachi","date",NULL,"YES",NULL,""
"voennyi_bilet","voinskoe_zvanie","character varying",50,"YES",NULL,""
"voennyi_bilet","kategoria","character varying",50,"YES",NULL,""
"voennyi_bilet","id_prizivnika","integer",NULL,"NO",NULL,"FK"
"voennyi_bilet","id_kategorii","integer",NULL,"YES",NULL,"FK"
